Age;Area;Quality;Price
89;720;4;34900
51;1276;5;60000
44;864;5;62383
65;747;4;80000
39;630;4;86000
70;1131;4;89471
36;988;4;91000
71;886;5;91300
92;1344;5;98000
87;1111;5;101000
95;1605;3;107400
47;816;5;110000
99;1230;5;110000
76;813;6;110000
59;1203;5;110000
72;1176;6;114500
32;1304;5;115000
83;1028;5;115000
53;1440;4;118000
69;1376;6;119500
59;1183;3;120000
49;912;5;120000
31;1040;5;124000
36;780;5;124900
67;1134;5;126000
60;1285;5;127000
53;1689;6;127500
25;845;4;129500
52;1360;5;130000
42;899;5;130000
44;970;5;132500
45;999;5;132500
65;1578;6;133000
52;952;4;135750
42;1768;4;136500
89;1710;7;140000
56;1086;5;144900
51;1056;5;145000
65;1644;5;146500
59;1113;5;147000
3;1072;6;148000
28;1400;6;149500
73;1135;7;155000
94;1826;7;155000
48;1269;5;155000
42;1073;5;156000
2;1158;6;158000
106;2414;5;160000
83;1666;8;161000
78;1573;5;162900
8;1216;6;164000
37;1277;7;167000
10;1739;8;172500
1;1258;7;172500
0;1456;6;172785
36;1484;5;175000
34;1242;7;175500
10;1470;6;177000
2;1414;7;178740
40;2207;7;180000
44;1425;6;180500
0;1340;7;181134
83;1820;7;184000
11;1718;7;185000
15;1710;6;187000
30;1728;5;188000
74;1660;6;188700
44;1888;6;190000
30;1969;7;190000
2;1720;7;196500
8;1886;7;199900
1;1370;8;202500
11;1756;6;204000
11;1493;6;208900
14;1908;7;210000
1;1590;8;210000
25;1502;8;212000
12;2034;7;219500
1;1478;7;222000
53;2287;7;225000
4;1479;7;226000
15;2097;7;228000
89;2624;6;239000
34;2223;7;244000
1;1634;8;250000
7;1652;8;251000
54;1663;4;256000
0;1935;8;263435
31;1533;7;280000
1;2172;7;280000
2;1718;8;297000
3;2473;8;317000
2;1850;9;326000
1;2078;8;339750
3;1792;9;374000
1;2643;9;380000
25;1842;9;385000
15;3228;8;430000
0;2945;10;438780
1;1976;8;440000